id,title,description,label,source,predicted_label
gh301,warbeast2000 npm Package Steals Developer SSH Private Keys and Uploads to Attacker GitHub Repo,"The malicious npm package warbeast2000 ran a postinstall script that read the private SSH key stored in ~/.ssh/id_rsa, base64-encoded it, and uploaded it to a GitHub repository controlled by the attacker, compromising developer authentication credentials across 412 downloads.",AV-400,https://thehackernews.com/2024/01/malicious-npm-packages-exfiltrate-1600.html,AV-400
gh302,kodiak2k npm Package Invokes Mimikatz Tool to Extract Credentials from Developer Systems,"The malicious npm package kodiak2k executed a postinstall script that fetched and ran the Mimikatz credential-extraction tool on victim developer machines, harvesting SSH keys and Windows authentication credentials across more than 1,281 downloads before removal.",AV-400,https://www.infosecurity-magazine.com/news/npm-packages-target-github-ssh-keys/,AV-400
gh303,Malicious RubyGems Targeting South Korean Developers Exfiltrate Credentials via Social Media Automation Tools,"A threat actor published 60 malicious RubyGems posing as automation tools for Instagram, Twitter, TikTok, and Kakao that presented a GUI requesting login credentials and silently exfiltrated usernames and passwords to attacker-controlled servers targeting primarily South Korean users.",AV-400,https://thehackernews.com/2025/08/rubygems-pypi-hit-by-malicious-packages.html,AV-400
gh304,Malicious Go Module Appends Hardcoded SSH Public Key to authorized_keys for Persistent Backdoor Access,"Malicious Go modules in the BufferZoneCorp campaign appended a hardcoded SSH public key to victim systems' ~/.ssh/authorized_keys file, establishing persistent backdoor access to compromised build servers without requiring further credentials after initial execution.",AV-400,https://socket.dev/blog/malicious-ruby-gems-and-go-modules-steal-secrets-poison-ci,AV-400
gh305,litellm PyPI Package Compromised with Double Base64-Encoded Payload Exfiltrating All Environment Variables and SSH Keys,"Malicious versions of the litellm PyPI package contained a double base64-encoded payload that evaded static analysis and exfiltrated all environment variables, SSH keys, and cloud credentials to an attacker-controlled server, with PyPI admins quarantining the project after discovery.",AV-400,https://www.truesec.com/hub/blog/malicious-pypi-package-litellm-supply-chain-compromise,AV-400
gh306,Compromised Checkmarx KICS Docker Images Harvest GitHub Tokens AWS and Azure Credentials,"Official Checkmarx KICS Docker images and VS Code extensions were compromised with an obfuscated payload that harvested GitHub authentication tokens, AWS credentials, Azure and Google Cloud tokens, npm configuration files, and SSH keys before compressing and encrypting the data for exfiltration.",AV-400,https://blog.gitguardian.com/three-supply-chain-campaigns-hit-npm-pypi-and-docker-hub-in-48-hours/,AV-400
gh307,xinference PyPI Package Versions Carry Credential-Stealing Payload Targeting SSH Keys and Crypto Wallets,"Three consecutive releases of xinference on PyPI carried a credential-stealing payload attributed to the TeamPCP threat group that decoded a second-stage collector harvesting SSH keys, cloud credentials, environment variables, and cryptocurrency wallets before transmitting them to a C2 server.",AV-400,https://blog.gitguardian.com/three-supply-chain-campaigns-hit-npm-pypi-and-docker-hub-in-48-hours/,AV-400
gh308,sonatype npm Package Identified as Fully Compromising Any Installed System,"The sonatype npm package was identified as fully malicious, with the GitHub Security Advisory warning that any computer with the package installed or running should be considered completely compromised, requiring immediate rotation of all secrets and keys from a separate machine.",AV-400,https://github.com/advisories/GHSA-w8fh-pvq2-x8c4,AV-400
gh309,pgserve npm Package Injects Credential-Harvesting Script via postinstall Hook on Every Install,"Malicious versions of pgserve, a PostgreSQL server package for Node.js, injected a credential-harvesting script that executed via a postinstall hook on every npm install, silently collecting developer credentials from all systems where the package was installed.",AV-400,https://blog.gitguardian.com/three-supply-chain-campaigns-hit-npm-pypi-and-docker-hub-in-48-hours/,AV-400
gh310,S1ngularity Attack Steals Nx npm Token via GitHub Actions Injection to Publish Malicious Packages,"Attackers exploited a GitHub Actions injection vulnerability in the Nx repository to steal the npm publish token, using it to release malicious Nx package versions that scanned developer systems for sensitive data and attempted to leverage local AI tools including Claude and Gemini before uploading results.",AV-400,https://nx.dev/blog/s1ngularity-postmortem,AV-400
gh311,aliyun-ai-labs-snippets-sdk PyPI Package Typosquats Legitimate Aliyun AI SDK to Steal Credentials,"Malicious PyPI packages aliyun-ai-labs-snippets-sdk and aliyun-ai-labs-sdk impersonated the legitimate Aliyun AI Labs Python SDK, establishing a C2 server connection and exfiltrating sensitive environment variables and configuration information from developer machines within 24 hours of publication.",AV-200,https://thehackernews.com/2025/06/malicious-pypi-npm-and-ruby-packages.html,AV-200
gh312,Typosquatted PyPI Packages Target Bittensor Crypto Wallets by Hijacking Staking Functions,"Malicious typosquatted PyPI packages targeting the Bittensor blockchain network hijacked staking functions through monkey-patching, intercepting private keys each time a keypair was generated and transmitting them to attacker infrastructure to drain cryptocurrency wallets.",AV-200,https://innovirtuoso.com/cybersecurity/malicious-rubygems-and-pypi-packages-are-stealing-credentials-and-crypto-what-happened-and-how-to-protect-yourself/,AV-200
